id,LivArea,grade,Area_of_house(excluding_basement),Area_of_basement,number_of_bedrooms,YearBuilt,SalePrice
6762815143,3380,8,3380,0,4,2000,655500
6762815227,1630,7,1160,470,3,1940,650000
6762815228,3480,8,2490,990,5,1983,650000
6762816060,2060,7,1030,1030,4,1949,612500
6762816083,2450,8,1580,870,4,1967,610000
6762816134,2150,9,2150,0,4,1985,609000
6762816173,2110,9,2110,0,4,1987,606000
6762816405,2260,8,1400,860,4,1977,599000
6762816780,3569,10,3569,0,4,2013,580000
6762816917,2130,8,1170,960,3,1954,575000
6762817272,3100,8,2400,700,4,1996,563000
6762817288,3040,8,3040,0,5,1984,562000
6762817305,2000,7,2000,0,3,1916,561000
6762818108,1850,8,1850,0,3,1991,535000
6762818202,1800,7,1400,400,5,1926,533000
6762818237,2910,7,1690,1220,5,1964,530000
6762818403,2970,9,1770,1200,3,1995,525000
6762818591,2460,8,2460,0,3,1980,520000
6762818667,1430,7,1430,0,3,1956,518000
6762818718,1790,8,1790,0,3,1989,515000
6762818810,2000,8,2000,0,4,1996,513000
6762819071,1480,8,1480,0,3,2006,500000
6762819263,1170,7,740,430,2,1903,499000
6762819584,2020,7,2020,0,5,1938,488000
6762819621,1420,7,1420,0,3,1905,485000
6762819707,1660,7,1160,500,2,1942,484000
6762819714,2740,8,2740,0,4,1995,483500
6762819923,3470,7,3470,0,6,1924,475000
6762820190,1030,7,1030,0,2,1924,469000
6762820263,1970,8,1180,790,3,1967,465000
6762820431,1230,8,1020,210,2,2004,460000
6762820605,2240,7,1340,900,5,1978,455000
6762820766,1100,7,1100,0,2,1912,450000
6762821835,1520,7,1520,0,4,1967,425000
6762822588,2810,7,1710,1100,4,1958,407000
6762822705,1840,7,960,880,4,1958,404000
6762823058,1440,7,1200,240,4,1971,397000
6762823244,1260,7,1260,0,3,1966,390000
6762823245,2890,7,1310,1580,5,2006,390000
6762823419,1230,7,1230,0,3,1962,387000
6762823456,1900,7,1280,620,3,1982,385000
6762823727,1500,7,1000,500,4,1955,379900
6762824138,1270,8,1270,0,3,2006,369950
6762824202,1410,8,1410,0,3,1961,367500
6762824247,1310,7,1310,0,3,1950,365000
6762824373,1640,7,1140,500,3,1963,362000
6762824403,2680,8,2680,0,4,1965,360000
6762824756,1350,6,860,490,3,1947,353000
6762825130,2331,8,2331,0,4,2007,345000
6762825131,1110,7,1110,0,3,1956,345000
6762825904,720,6,720,0,2,1942,329350
6762825992,1890,7,980,910,4,1980,325000
6762826596,1510,6,860,650,3,1940,313950
6762826630,1300,7,1300,0,4,1950,312000
6762827348,1980,9,1560,420,3,1974,295000
6762827837,2000,7,2000,0,4,2003,284000
6762827916,1630,7,1630,0,3,1971,280000
6762828037,1580,7,1100,480,3,1962,279900
6762828331,1650,7,1650,0,3,1998,272000
6762829190,1050,6,1050,0,3,1954,250000
6762829881,1490,7,1010,480,3,1975,234000
6762830340,900,6,900,0,2,1952,219000
6762830360,1850,8,1320,530,3,1979,218000
6762830890,1690,7,1060,630,3,1976,197000
6762830971,800,6,800,0,3,1959,191000
6762831182,1010,7,1010,0,3,1954,175000
6762831495,1420,6,1420,0,3,1962,136500
6762831616,780,5,780,0,2,1942,78000
6762810052,6210,11,4760,1450,7,1910,3200000
6762810519,4270,11,3400,870,5,2007,1530000
6762810536,3560,11,3560,0,6,1914,1500000
6762810736,2960,10,2440,520,3,1937,1340000
6762811104,4460,11,4460,0,4,2001,1150000
6762811190,2310,7,1890,420,4,1950,1110000
6762811389,3900,10,3900,0,4,2006,1040000
6762811814,1890,9,1470,420,4,1963,940000
6762812054,4130,9,3170,960,5,1985,900000
6762813091,2210,8,1210,1000,4,1954,794154
6762813283,2540,8,1600,940,3,1905,775000
6762813540,2410,7,1780,630,4,1956,758000
6762813601,2520,7,1360,1160,3,1946,750000
6762813688,2600,8,1960,640,4,1949,749950
6762814292,2650,8,1520,1130,4,1905,705000
6762814540,1760,7,980,780,3,1942,690000
6762814789,1680,8,1680,0,3,1959,675000
6762814790,3680,10,3680,0,4,1990,675000
6762815215,3240,10,3240,0,3,1991,651000
6762815462,2270,9,2130,140,3,2002,640000
6762815655,2680,8,2680,0,3,1995,630000
6762815656,2550,10,1720,830,2,2011,630000
6762815957,2030,8,2030,0,3,1988,618080
6762816079,1680,8,1680,0,3,2014,610950
6762816276,2460,9,1860,600,3,1977,600000
6762816384,3830,7,2450,1380,9,1938,599999
6762816406,1960,7,1090,870,3,1920,599000
6762816769,2510,7,1280,1230,4,1961,581000
6762816918,1650,7,1650,0,4,1955,575000
6762817146,2350,8,1780,570,3,1929,568000
6762817315,4120,9,3180,940,3,1994,560000
6762817316,1860,8,1860,0,3,1985,560000
6762817937,3700,8,3700,0,7,1948,540000
6762818109,2720,9,2720,0,3,1988,535000
6762818110,2280,8,1880,400,3,2006,535000
6762818238,1340,7,1080,260,3,1910,530000
6762818388,1550,7,1550,0,2,1900,526000
6762818648,1170,8,1170,0,3,2014,519950
6762818719,1580,7,1210,370,3,1967,515000
6762818846,2430,8,2430,0,4,2003,510000
6762819032,1540,7,1210,330,3,1980,503000
6762819072,1010,7,1010,0,2,1906,500000
6762819073,1940,8,1940,0,3,1987,500000
6762819343,990,6,990,0,3,1943,495000
6762819344,2656,9,2656,0,4,2014,495000
6762819436,3305,7,2245,1060,4,1922,492000
6762819622,1610,7,1010,600,3,1917,485000
6762819760,2180,8,2180,0,4,1968,480500
6762819924,820,7,820,0,2,1921,475000
6762820432,1760,7,1760,0,3,1985,460000
6762821207,1500,6,1060,440,3,1947,440000
6762821771,1350,8,1350,0,2,2003,428000
6762821836,1150,8,1150,0,2,2008,425000
6762822055,1040,6,1040,0,2,1904,420000
6762822056,1770,7,1770,0,3,1977,420000
6762822226,1606,8,1606,0,3,2009,417250
6762822267,1830,7,1830,0,4,1991,415000
6762822547,2140,7,1320,820,4,1968,409500
6762822621,1660,8,1660,0,3,1961,405000
6762823625,3000,7,1500,1500,5,1958,380000
6762823740,1640,7,840,800,2,1978,379500
6762823823,1830,8,1830,0,3,1990,375000
6762824248,2410,7,1410,1000,5,2008,365000
6762824389,820,7,820,0,2,1944,361280
6762824800,2420,7,1620,800,5,1978,352000
6762824831,1010,6,1010,0,3,1981,350000
6762825419,1630,7,1630,0,3,1985,339950
6762825420,820,8,820,0,2,2006,339950
6762825551,1570,7,1570,0,3,1952,335000
6762826573,1040,7,1040,0,3,1968,314950
6762826582,1870,8,1870,0,3,1957,314500
6762826607,2190,8,2190,0,3,1967,313000
6762826675,1840,7,1220,620,3,1974,310000
6762826676,2070,7,1420,650,3,1973,310000
6762826883,1600,7,1600,0,3,2013,305450
6762827058,760,6,760,0,2,1913,300000
6762827917,1600,7,1600,0,3,2000,280000
6762828163,1600,8,1600,0,3,1993,275000
6762828606,1500,6,760,740,5,1920,265000
6762829003,2060,7,1030,1030,5,1962,255000
6762829120,1250,7,1250,0,3,1994,253000
6762829191,1100,6,820,280,1,1947,250000
6762829348,1110,7,1110,0,3,1952,249000
6762829374,1720,7,1720,0,4,1960,248500
6762829434,1400,6,1400,0,3,1944,246000
6762829454,1260,7,1040,220,3,2005,245000
6762829711,1410,7,1410,0,3,1985,239900
6762829943,1920,8,1920,0,3,1988,230000
6762830103,1640,7,1130,510,3,1988,226500
6762830601,1380,7,1380,0,3,1960,209950
6762831054,1490,7,1490,0,4,1969,185000
6762831337,1040,6,1040,0,2,1912,160000
6762831587,910,6,910,0,2,1956,100000
6762810338,3510,10,3510,0,6,1906,1750000
6762810537,2430,8,1340,1090,3,1952,1500000
6762810781,2800,10,1910,890,5,1932,1310000
6762810889,3820,11,3310,510,4,1990,1250000
6762811336,2920,8,1460,1460,4,1964,1050000
6762811390,3410,8,2190,1220,4,1910,1040000
6762811575,2015,9,2015,0,3,2007,988500
6762811596,3160,9,1780,1380,5,1971,980000
6762811867,2640,9,1840,800,3,1912,930000
6762812323,2920,10,2920,0,3,2008,868500
6762812615,1910,8,1910,0,4,1941,835000
6762812665,3040,9,1970,1070,5,1968,830000
6762813158,3010,9,3010,0,3,2011,785000
6762813211,2480,7,1390,1090,4,1950,780000
6762813572,2660,9,2660,0,4,2003,753888
6762814111,1690,8,1690,0,3,1928,719000
6762814139,3290,9,3290,0,4,2002,716500
6762814207,1250,7,1150,100,3,1900,712000
6762815046,1320,7,1320,0,3,1918,660000
6762815378,2060,8,1160,900,4,1947,647500
6762815557,1230,7,1230,0,2,1925,636000
6762815988,1540,7,820,720,2,1946,615000
6762816464,1750,7,1750,0,3,1991,595000
6762816607,3160,7,3160,0,2,1993,589900
6762817133,2250,8,2250,0,4,1980,569000
6762817390,1870,8,1870,0,2,2006,559950
6762817519,1360,8,1050,310,2,1997,553650
6762817818,1780,8,1780,0,3,1988,545000
6762817894,2820,7,1970,850,6,1940,543200
6762818056,1840,7,1220,620,4,1967,538000
6762818068,2550,7,2550,0,4,2005,537500
6762818111,2280,8,2280,0,4,2004,535000
6762818203,1670,7,1170,500,3,1967,533000
6762818239,1980,8,1980,0,3,1973,530000
6762818240,2280,7,1540,740,4,1930,530000
6762818544,2430,8,2430,0,3,1974,524000
6762818720,1060,7,1060,0,2,1926,515000
6762819074,1410,8,1410,0,3,2012,500000
6762819264,1110,8,930,180,2,2005,499000
6762819418,2310,8,2310,0,3,2011,494000
6762819551,2440,8,2440,0,5,1975,489990
6762820767,1510,7,1510,0,3,1954,450000
6762821186,1020,8,1020,0,2,2008,441750
6762821371,980,8,980,0,2,2010,438000
6762821403,1310,7,1310,0,3,1976,437000
6762821994,1460,7,1460,0,3,1979,424500
6762822396,1540,8,1470,70,3,2008,413450
6762822622,1020,7,1020,0,2,1948,405000
6762822722,2090,8,2090,0,3,2012,403000
6762822747,1960,7,1290,670,3,1977,402000
6762823457,1890,7,1230,660,3,1944,385000
6762823824,3206,7,3206,0,6,2012,375000
6762824560,960,7,960,0,2,1993,358000
6762824832,2250,8,2150,100,4,1940,350000
6762825043,1590,7,1590,0,3,1988,349000
6762825083,2460,9,2460,0,4,1989,347500
6762825552,2240,7,1480,760,3,1980,335000
6762825746,1550,7,1550,0,2,1972,330000
6762825986,2320,8,2320,0,4,2004,325900
6762826223,860,7,860,0,2,2007,321950
6762826837,1890,7,1890,0,3,1966,307000
6762827311,1240,7,1240,0,3,1967,297950
6762827349,2200,7,1100,1100,2,1973,295000
6762827350,1920,8,1920,0,3,1993,295000
6762828376,1810,7,1810,0,4,1994,270000
6762828590,1940,7,1460,480,3,1989,266000
6762828756,2020,7,2020,0,4,2002,262000
6762828791,2130,7,1100,1030,4,1962,260000
6762828930,1730,7,1230,500,4,1977,258000
6762829435,1390,7,1390,0,3,1975,246000
6762829455,1260,7,1260,0,3,1955,245000
6762829790,1270,6,650,620,2,1923,235000
6762829944,950,6,790,160,3,1939,230000
6762829945,1390,6,1390,0,3,1960,230000
6762830053,1190,7,1190,0,3,2002,229000
6762830075,2000,7,1100,900,4,1965,228000
6762830520,2100,7,1050,1050,4,1959,211000
6762830646,1490,7,1490,0,3,1954,207000
6762830682,720,6,720,0,2,1955,205000
6762831507,980,7,980,0,2,1922,134000
6762831612,520,5,520,0,2,1951,82500
6762810135,3000,11,3000,0,3,2001,2400000
6762810176,7270,12,6420,850,5,2010,2240000
6762810365,5190,11,3390,1800,5,1987,1700000
6762810697,3720,10,1960,1760,4,1962,1370000
6762811086,5860,10,4910,950,4,1996,1160000
6762811582,4230,11,4230,0,4,1989,985000
6762811939,3750,10,3750,0,4,1976,920000
6762812447,3560,10,3560,0,3,1987,851000
6762812596,3810,9,2560,1250,4,2013,839900
6762812648,3780,10,3780,0,4,1999,833000
6762812964,3540,9,3540,0,4,2007,800000
6762813195,2830,10,1980,850,4,1979,782000
6762813396,2730,8,2400,330,4,2006,769900
6762813413,2790,10,2790,0,4,1996,765000
6762813532,2950,9,2950,0,3,2006,759000
6762813758,3100,8,2000,1100,4,1919,742500
6762814293,2200,8,2200,0,2,2007,705000
6762816084,2480,8,1620,860,3,1976,610000
6762816237,2260,9,2260,0,4,1989,604000
6762816548,2430,9,2430,0,4,1993,590000
6762816668,2400,8,2400,0,4,1982,585000
6762816748,2660,8,2660,0,4,2001,583000
6762816781,2840,9,2840,0,4,1998,580000
6762817174,1660,8,1370,290,3,1980,566000
6762817182,2470,8,2470,0,4,1984,565000
6762817428,2840,8,2840,0,4,2012,557000
6762817907,2330,8,2330,0,4,1978,542500
6762818086,2000,7,1450,550,4,1926,536500
6762818089,1300,7,1300,0,3,1925,536000
6762818218,3480,8,2340,1140,5,1976,532000
6762818404,2030,8,2030,0,3,1991,525000
6762818835,1400,7,1400,0,3,1963,511555
6762818980,2100,8,2100,0,3,1999,505000
6762819453,1750,7,1300,450,3,1987,491300
6762819464,1840,6,1130,710,2,1910,490000
6762819748,1410,7,1410,0,3,1940,481450
6762820264,1930,9,1930,0,4,1968,465000
6762820383,1150,7,1150,0,2,1905,463000
6762820433,1750,7,1050,700,4,1926,460000
6762821052,1650,7,1000,650,4,1959,445000
6762821053,1150,7,860,290,2,1940,445000
6762821613,2170,8,1270,900,4,1960,431000
6762821767,1620,7,1620,0,3,1911,428750
6762822268,3060,8,3060,0,4,1992,415000
6762822734,2600,10,2600,0,4,1988,402500
6762823420,1445,7,1300,145,3,2003,387000
6762823591,1410,8,1410,0,3,2005,382000
6762823809,1340,8,1340,0,3,2008,376000
6762824404,1420,7,1180,240,2,1956,360000
6762824801,1640,8,1640,0,3,1972,352000
6762825517,1780,6,1780,0,3,1979,336900
6762825747,1940,8,1940,0,4,2003,330000
6762825993,1352,8,1352,0,3,2007,325000
6762825994,1470,7,1470,0,4,1976,325000
6762826170,998,7,798,200,3,2007,324000
6762826183,1970,8,1170,800,4,1977,323000
6762826240,2310,8,2310,0,4,1980,320000
6762826462,2320,7,1160,1160,5,1956,315000
6762826631,1930,7,1430,500,4,1984,312000
6762826656,2130,7,1380,750,4,1977,311100
6762826998,1060,7,1060,0,3,1973,303500
6762827527,2000,7,1200,800,4,1968,290000
6762827904,1390,7,840,550,3,1912,280950
6762827918,2190,7,1180,1010,4,1977,280000
6762828164,1390,6,1390,0,3,1922,275000
6762828377,1500,7,1500,0,3,1953,270000
6762828378,1690,7,1690,0,3,1969,270000
6762828792,1920,7,1510,410,3,1969,260000
6762828793,1420,7,1020,400,3,1963,260000
6762829004,960,6,960,0,2,1984,255000
6762829005,810,6,810,0,2,1928,255000
6762829097,1850,8,1850,0,3,2003,254000
6762829137,1030,7,880,150,3,1947,252500
6762829174,1220,7,1220,0,3,1962,251000
6762829381,2163,7,2163,0,4,2006,248000
6762829871,1360,6,1360,0,3,1977,234950
6762830119,2000,7,2000,0,3,1992,225000
6762830205,1430,7,1430,0,4,1983,224500
6762830502,1020,7,1020,0,2,2004,212000
6762830765,1160,7,1160,0,3,1959,201500
6762830909,720,6,720,0,2,1950,195000
6762812241,2520,8,1400,1120,4,1921,875000
6762817744,3060,8,1600,1460,5,1979,549900
6762823173,1350,8,1270,80,3,2006,394950
6762826241,2130,7,2130,0,3,2003,320000
6762828607,1940,7,1080,860,4,1962,265000
6762812556,2160,9,2160,0,4,1902,842500
6762824180,1370,7,1010,360,3,2007,368000
6762810472,3650,10,2360,1290,5,1975,1580000
6762810715,3380,8,1690,1690,5,1963,1350000
6762810768,3460,10,2560,900,4,2004,1320000
6762810794,2330,9,2330,0,4,1918,1300000
6762810875,3490,9,3490,0,4,2012,1260000
6762810940,5420,11,3890,1530,4,2001,1230000
6762810941,3070,9,1870,1200,4,1976,1230000
6762810999,1560,6,1560,0,3,1928,1200000
6762811266,3720,11,3720,0,3,1982,1080000
6762811337,3280,10,2320,960,4,2008,1050000
6762811412,3270,9,3110,160,4,2014,1030000
6762811437,2920,9,1800,1120,3,1954,1020000
6762811743,4530,9,3200,1330,5,2003,950000
6762811798,3290,10,3290,0,4,1968,947500
6762811799,2980,8,2180,800,3,1917,947500
6762811886,3300,8,3300,0,4,1953,927000
6762812000,2700,8,1350,1350,3,1962,910000
6762812055,4700,10,3420,1280,4,1978,900000
6762812184,2830,9,2830,0,4,1995,885000
6762812239,2170,9,1650,520,3,1928,876650
6762812293,2350,8,1690,660,4,1910,870300
6762812452,2350,8,2350,0,4,1961,850000
6762812564,2600,7,1620,980,4,1936,840000
6762812899,4630,9,3210,1420,5,2006,809000
6762813146,3680,9,2840,840,4,2003,788000
6762813362,1720,9,1720,0,3,1954,770000
6762813589,3110,9,3110,0,4,2004,751000
6762813602,2980,9,2890,90,4,2000,750000
6762813724,2620,9,2620,0,3,1992,746000
6762813877,2760,7,1680,1080,4,1928,734200
6762814541,2670,9,2670,0,4,1989,690000
6762814791,2400,7,1200,1200,4,1964,675000
6762815047,2550,8,1290,1260,4,1964,660000
6762815381,3040,8,3040,0,4,1999,647000
6762815563,1570,8,1570,0,3,2010,635000
6762815657,1770,7,1770,0,4,1911,630000
6762815881,1620,8,1280,340,3,1954,620000
6762815989,2040,7,2040,0,2,1919,615000
6762816085,2110,7,1640,470,4,1930,610000
6762816763,2120,7,1190,930,4,1951,582000
6762817317,2560,8,2560,0,3,1986,560000
6762817938,2540,8,1450,1090,4,1990,540000
6762818572,1800,8,1360,440,4,1980,522000
6762818981,1940,7,1030,910,4,1922,505000
6762818982,2780,8,1590,1190,4,1978,505000
6762819075,1290,8,1290,0,2,2007,500000
6762819228,980,7,760,220,3,1941,499950
6762819465,1230,8,870,360,2,2004,490000
6762820265,2020,6,1190,830,3,1956,465000
6762820698,2010,8,1390,620,3,2014,453246
6762820768,1770,8,1160,610,3,1959,450000
6762822057,1480,7,1480,0,2,2009,420000
6762822454,2200,8,2200,0,3,1987,410000
6762823563,2160,8,2160,0,4,2010,383000
6762824005,2480,7,1300,1180,5,2004,372500
6762824160,980,8,670,310,2,2009,369000
6762824181,1280,7,1280,0,3,1968,368000
6762824405,1730,7,1010,720,4,1943,360000
6762824594,2380,7,2380,0,4,1997,357000
6762824833,910,7,910,0,2,1906,350000
6762825297,1720,7,1720,0,3,1952,341000
6762825447,1080,7,1080,0,3,1955,339000
6762825553,1940,8,1940,0,3,2004,335000
6762825748,2100,7,1250,850,5,2013,330000
6762826459,1440,7,960,480,3,1951,315275
6762827026,2180,7,2180,0,5,1986,302000
6762827044,830,7,830,0,2,2005,301500
6762827059,1360,7,860,500,2,1975,300000
6762828379,1830,7,1830,0,3,1942,270000
6762828608,1290,7,1290,0,2,2008,265000
6762829006,1220,6,770,450,2,1910,255000
6762829791,810,7,810,0,1,1941,235000
6762830120,990,7,990,0,3,1966,225000
6762830521,1350,6,1350,0,3,1941,211000
6762830532,1040,7,720,320,3,2004,210000
6762830767,1460,7,1460,0,3,1969,201000
6762830967,700,6,700,0,2,1953,192000
6762831055,1370,7,1370,0,3,1961,185000
6762831383,970,7,970,0,3,1959,156000
6762831569,1250,6,1250,0,3,1945,110000
6762810108,5300,10,4570,730,4,1923,2560000
6762810128,4430,10,4430,0,5,2013,2450000
6762810129,5030,11,3250,1780,4,2008,2450000
6762810260,3120,9,3120,0,5,1969,1900000
6762810391,4860,11,3820,1040,5,1989,1680000
6762810503,3370,10,2000,1370,5,1982,1550000
6762810637,3530,10,3530,0,5,2001,1400000
6762811191,2740,9,1930,810,4,1905,1110000
6762811338,4400,11,4400,0,4,2003,1050000
6762811620,3490,11,3490,0,4,2000,975000
6762812294,3520,9,2650,870,4,2006,870000
6762812371,3560,10,2290,1270,4,1986,860000
6762812797,3150,9,3150,0,5,2013,819900
6762813033,2890,7,2290,600,6,1906,799200
6762813212,2340,8,2340,0,3,1967,780000
6762813274,3610,10,2440,1170,3,2003,777000
6762813357,1780,9,1390,390,3,1927,771000
